Title,Score,Open_date,Total
명량,7.8,2014.07.30.,17615686
극한직업,7.4,2019.01.23.,16266338
신과함께-죄와 벌,7.1,2021.01.07.,14414658
국제시장,7.1,2014.12.17.,14263980
어벤져스: 엔드게임,7.9,2019.04.24.,13977602
겨울왕국 2,7.3,2019.11.21.,13747792
베테랑,8.4,2015.08.05.,13414484
아바타,9.0,2018.06.21.,13338863
도둑들,7.9,2012.07.25.,12984701
7번방의 선물,8.7,2013.01.23.,12812144
알라딘,8.4,2019.05.23.,12723777
암살,8.5,2015.07.22.,12706829
"광해, 왕이 된 남자",8.6,2012.09.13.,12324062
신과함께-인과 연,6.9,2021.01.21.,12278010
택시운전사,9.1,2017.08.02.,12189698
태극기 휘날리며,9.1,2021.03.17.,11746135
부산행,7.3,2020.07.01.,11567662
변호인,9.3,2013.12.18.,11375123
해운대,6.9,2009.07.22.,11324958
어벤져스: 인피니티 워,7.7,2018.04.25.,11233176
실미도,8.0,2003.12.24.,11081000
괴물,8.9,2006.07.27.,10917400
왕의 남자,9.2,2005.12.29.,10514177
어벤져스: 에이지 오브 울트론,7.8,2015.04.23.,10504007
인터스텔라,8.0,2016.01.14.,10326240
기생충,7.9,2019.05.30.,10313163
겨울왕국,8.2,2014.01.16.,10303058
보헤미안 랩소디,8.9,2018.10.31.,9948386
검사외전,6.5,2016.02.03.,9707581
엑시트,7.7,2019.07.31.,9426421
